date,state,zone,total_visitors_nights
1998-01-01,NSW,Metro,9047.095396900002
1998-04-01,NSW,Metro,6962.125889800001
1998-07-01,NSW,Metro,6871.9630475
1998-10-01,NSW,Metro,7147.292611599999
1999-01-01,NSW,Metro,7956.922814299999
1999-04-01,NSW,Metro,6542.243263099999
1999-07-01,NSW,Metro,6330.364078400001
1999-10-01,NSW,Metro,7509.21219
2000-01-01,NSW,Metro,7662.4905024
2000-04-01,NSW,Metro,6341.801885
2000-07-01,NSW,Metro,7827.300649
2000-10-01,NSW,Metro,9579.562225900001
2001-01-01,NSW,Metro,8270.488389199998
2001-04-01,NSW,Metro,7240.4266339999995
2001-07-01,NSW,Metro,6640.4896461
2001-10-01,NSW,Metro,7111.874778300001
2002-01-01,NSW,Metro,6827.825709600001
2002-04-01,NSW,Metro,6404.992035199999
2002-07-01,NSW,Metro,6615.7601335
2002-10-01,NSW,Metro,7226.3764749
2003-01-01,NSW,Metro,7589.0582523
2003-04-01,NSW,Metro,6334.5271859
2003-07-01,NSW,Metro,5996.7475196000005
2003-10-01,NSW,Metro,6612.8461652999995
2004-01-01,NSW,Metro,7758.2674934
2004-04-01,NSW,Metro,6778.8356463
2004-07-01,NSW,Metro,5854.4516077
2004-10-01,NSW,Metro,6200.2138271
2005-01-01,NSW,Metro,7163.8299153
2005-04-01,NSW,Metro,5082.203579399999
2005-07-01,NSW,Metro,5673.551354700001
2005-10-01,NSW,Metro,6089.9058008
2006-01-01,NSW,Metro,8525.915573999999
2006-04-01,NSW,Metro,6569.684437999999
2006-07-01,NSW,Metro,5771.059327999999
2006-10-01,NSW,Metro,6692.897342
2007-01-01,NSW,Metro,8158.657532499999
2007-04-01,NSW,Metro,5710.0824346
2007-07-01,NSW,Metro,5402.5429286
2007-10-01,NSW,Metro,6803.493700000001
2008-01-01,NSW,Metro,7866.269299400001
2008-04-01,NSW,Metro,5616.7038446999995
2008-07-01,NSW,Metro,5886.763960700001
2008-10-01,NSW,Metro,5506.2984750000005
2009-01-01,NSW,Metro,6787.2254196
2009-04-01,NSW,Metro,5361.3172195
2009-07-01,NSW,Metro,4699.3495426
2009-10-01,NSW,Metro,6208.7840697
2010-01-01,NSW,Metro,7148.262201799999
2010-04-01,NSW,Metro,4850.2174843
2010-07-01,NSW,Metro,6029.4895211
2010-10-01,NSW,Metro,6238.902535
2011-01-01,NSW,Metro,7597.4675006
2011-04-01,NSW,Metro,5815.929591499999
2011-07-01,NSW,Metro,6183.2387665999995
2011-10-01,NSW,Metro,5929.0301327
2012-01-01,NSW,Metro,7986.9310625
2012-04-01,NSW,Metro,5307.8709729
2012-07-01,NSW,Metro,6054.1116938000005
2012-10-01,NSW,Metro,6023.8968728
2013-01-01,NSW,Metro,7028.4801216999995
2013-04-01,NSW,Metro,5813.4500297
2013-07-01,NSW,Metro,6322.8414263
2013-10-01,NSW,Metro,7101.6905301
2014-01-01,NSW,Metro,7897.3159874
2014-04-01,NSW,Metro,5997.467556799999
2014-07-01,NSW,Metro,6033.5328619
2014-10-01,NSW,Metro,7103.3975236
2015-01-01,NSW,Metro,8725.131620900002
2015-04-01,NSW,Metro,6995.8746449
2015-07-01,NSW,Metro,6294.489763
2015-10-01,NSW,Metro,6945.4763385999995
2016-01-01,NSW,Metro,7373.7573472
2016-04-01,NSW,Metro,6792.2336825
2016-07-01,NSW,Metro,6530.5680256
2016-10-01,NSW,Metro,7878.2768422
1998-01-01,NSW,NthCo,8565.6778903
1998-04-01,NSW,NthCo,7124.4683616
1998-07-01,NSW,NthCo,4716.8931164
1998-10-01,NSW,NthCo,6269.2990649
1999-01-01,NSW,NthCo,9493.901336
1999-04-01,NSW,NthCo,5401.201389400001
1999-07-01,NSW,NthCo,5542.6258237
1999-10-01,NSW,NthCo,6383.4736317
2000-01-01,NSW,NthCo,8337.0080096
2000-04-01,NSW,NthCo,4923.4761714
2000-07-01,NSW,NthCo,5134.4912284
2000-10-01,NSW,NthCo,6389.8878082
2001-01-01,NSW,NthCo,8259.3983426
2001-04-01,NSW,NthCo,5442.668817899999
2001-07-01,NSW,NthCo,5767.4281126000005
2001-10-01,NSW,NthCo,5611.9100746
2002-01-01,NSW,NthCo,9504.84267
2002-04-01,NSW,NthCo,6032.5248872
2002-07-01,NSW,NthCo,5824.0364124
2002-10-01,NSW,NthCo,6521.765428
2003-01-01,NSW,NthCo,8985.047892100001
2003-04-01,NSW,NthCo,5586.26359
2003-07-01,NSW,NthCo,5458.092111900001
2003-10-01,NSW,NthCo,6451.381762000001
2004-01-01,NSW,NthCo,8562.4033888
2004-04-01,NSW,NthCo,5769.0524682000005
2004-07-01,NSW,NthCo,5436.7937642
2004-10-01,NSW,NthCo,5997.55024
2005-01-01,NSW,NthCo,8561.084413499999
2005-04-01,NSW,NthCo,5177.7180905
2005-07-01,NSW,NthCo,5061.6275233
2005-10-01,NSW,NthCo,5131.7934906
2006-01-01,NSW,NthCo,7948.298965
2006-04-01,NSW,NthCo,6220.572149
2006-07-01,NSW,NthCo,5720.923247999999
2006-10-01,NSW,NthCo,5861.450471
2007-01-01,NSW,NthCo,8492.9110516
2007-04-01,NSW,NthCo,5638.5429601
2007-07-01,NSW,NthCo,5206.9026449
2007-10-01,NSW,NthCo,6495.8672811999995
2008-01-01,NSW,NthCo,8859.705052000001
2008-04-01,NSW,NthCo,5169.616492699999
2008-07-01,NSW,NthCo,4677.3354324
2008-10-01,NSW,NthCo,6063.1736447
2009-01-01,NSW,NthCo,8396.0698536
2009-04-01,NSW,NthCo,4701.395533100001
2009-07-01,NSW,NthCo,4702.0307055
2009-10-01,NSW,NthCo,6590.312614
2010-01-01,NSW,NthCo,7674.929890099999
2010-04-01,NSW,NthCo,4886.1404891
2010-07-01,NSW,NthCo,5601.4507478
2010-10-01,NSW,NthCo,5681.885340499999
2011-01-01,NSW,NthCo,8297.531605799999
2011-04-01,NSW,NthCo,6003.609339600001
2011-07-01,NSW,NthCo,5043.0165599
2011-10-01,NSW,NthCo,6141.692394500001
